id,hero_id,language,description,race,created_at,updated_at
1,1,en,"Superman is a fictional superhero appearing in American comic books published by DC Comics. The character was created by writer Jerry Siegel and artist Joe Shuster, and first appeared in Action Comics #1 (cover-dated June 1938 and published April 18, 1938).",Kryptonian,2022-04-27 10:00:00,2022-04-27 10:00:00
2,1,nl,"Superman is een fictieve superheld die voorkomt in Amerikaanse stripboeken uitgegeven door DC Comics. Het personage werd bedacht door schrijver Jerry Siegel en tekenaar Joe Shuster, en verscheen voor het eerst in Action Comics #1 (gedateerd juni 1938 en gepubliceerd op 18 april 1938).",Kryptoniaans,2022-04-27 10:00:00,2022-04-27 10:00:00
3,2,en,"Batman is a fictional superhero appearing in American comic books published by DC Comics. The character was created by artist Bob Kane and writer Bill Finger, and first appeared in Detective Comics #27 in 1939.",Human,2022-04-27 10:00:00,2022-04-27 10:00:00
4,2,nl,"Batman is een fictieve superheld die voorkomt in Amerikaanse stripboeken uitgegeven door DC Comics. Het personage werd bedacht door tekenaar Bob Kane en schrijver Bill Finger, en verscheen voor het eerst in Detective Comics #27 in 1939.",Mens,2022-04-27 10:00:00,2022-04-27 10:00:00
5,3,en,"Wonder Woman is a fictional superhero appearing in American comic books published by DC Comics. The character is a founding member of the Justice League. The character first appeared in All Star Comics #8 in October 1941 with her first feature in Sensation Comics #1 in January 1942.",Amazonian,2022-04-27 10:00:00,2022-04-27 10:00:00
6,3,nl,"Wonder Woman is een fictieve supheldin die in Amerikaanse stripboekenvoorkomt uitgegeven door DC Comics. Ze is een van de oprichters van de Justice League. Ze kwam als eerst voor in All Star Comics #8 in Oktober 1941 met haar eerste feature in Sensation Comics #1 in Januari 1942.",Amazonian,2022-04-27 10:00:00,2022-04-27 10:00:00
7,4,en,"Spider-man is a fictional superhero appearing in American comic books published by Marvel. He was created by Stan Lee and first appeared in Amazing Fantasy #15.",Human,2022-04-27 10:00:00,2022-04-27 10:00:00
8,4,nl,"Spider-man is een fictieve superheld die voorkomt in Amerikaanse stripboeken uitgegeven door Marvel. Hij werd bedacht door Stan Lee en kwam als eerste voor in Amazing Fantasy #15.",Mens,2022-04-27 10:00:00,2022-04-27 10:00:00
9,5,en,"Aquaman is a fictional superhero appearing in American comic books published by DC Comics. He was created by Mort Weisinger and Paul Norri. His first appearance was in More Fun Comics #73.",Atlantian,2022-04-27 10:00:00,2022-04-27 10:00:00
10,5,nl,"Aquaman is een fictieve supheld die in Amerikaanse stripboekenvoorkomt uitgegeven door DC Comics. Hij was bedacht door Mort Weisinger en Paul Norri. Hij verscheen voor het eerst in More Fun Comics #73.",Atlantiaan,2022-04-27 10:00:00,2022-04-27 10:00:00
11,6,en,"Wolverine is a fictional superhero appearing in American comic books published by Marvel. He was created by Len Wein, John Romita, Sr. and Herb Trimpe. He first appeared in The Incredible Hulk #180 - 181.",Mutant,2022-04-27 10:00:00,2022-04-27 10:00:00
12,6,nl,"Wolverine is een fictieve superheld die voorkomt in Amerikaanse stripboeken uitgegeven door Marvel. Hij was bedacht door Len Wein, John Romita, Sr. en Herb Trimpe. Hij verscheen voor het eerst in The Incredible Hulk #180 - 181.",Mutant,2022-04-27 10:00:00,2022-04-27 10:00:00
13,7,en,"Red tornado is a fictional superhero appearing in American comic books published by DC Comics. He was created by Gardner Fox and Dick Dillin. He first appeared in Justice League of America #64.",Robot,2022-04-27 10:00:00,2022-04-27 10:00:00
14,7,nl,"Rode tornado is een fictieve supheld die in Amerikaanse stripboekenvoorkomt uitgegeven door DC Comics. Hij was bedacht door Fox en Dick Dillin. Hij verscheen voor het eerst in Justice League of America #64.",Robot,2022-04-27 10:00:00,2022-04-27 10:00:00
15,8,en,"Doctor Strange is a fictional superhero appearing in American comic books published by Marvel. He was created by Steve Ditko. He first appeared in Strange Tales #110.",Human,2022-04-27 10:00:00,2022-04-27 10:00:00
